Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
     2304    0.000    0.000    0.000    0.000 _util.py:609(<genexpr>)
     1031    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.000    0.000 easyid3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:73(find_spec)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1555(_IPv4Constants)
        4    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sitebuiltins.py:19(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
       58    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 database.py:135(_get_connection)
        1    0.000    0.000    0.000    0.000 mp3_frame.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:549(_fill_cdata)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       12    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      247    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1597    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       93    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      323    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 _frames.py:555(TCON)
      117    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
       12    0.000    0.000    0.000    0.000 typing.py:306(inner)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1905(__init__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        1    0.000    0.000    0.000    0.000 _strptime.py:49(__init__)
      272    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       51    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      511    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
     2191    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       22    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _specs.py:643(ID3TimeStamp)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
       38    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      323    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      323    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      301    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 id3_text.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _util.py:148(wrap)
       31    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        4    0.000    0.000    0.000    0.000 typing.py:1138(__getitem__)
        4    0.000    0.000    0.000    0.000 _util.py:329(enum)
       85    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       51    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      679    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 typing.py:1016(__init__)
       20    0.000    0.000    0.000    0.000 easyid3.py:137(RegisterTXXXKey)
      317    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      816    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
        5    0.000    0.000    0.000    0.000 typing.py:1147(copy_with)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       58    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      349    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
        1    0.000    0.000    0.000    0.000 easyid3.py:34(EasyID3)
      816    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      254    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       66    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      486    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
     1023    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
